dt,AverageTemperature,Country
1814-06-01,18.732000000000006,Turkey
1814-07-01,20.627,Turkey
1814-08-01,21.836,Turkey
1814-09-01,17.034000000000002,Turkey
1814-10-01,11.591,Turkey
1814-11-01,7.385,Turkey
1814-12-01,5.921,Turkey
1815-01-01,-0.15000000000000013,Turkey
1815-02-01,1.2040000000000002,Turkey
1815-03-01,3.264,Turkey
1815-04-01,9.057,Turkey
1815-05-01,14.283,Turkey
1815-06-01,18.211,Turkey
1815-07-01,22.359,Turkey
1815-08-01,21.609,Turkey
1815-09-01,17.889,Turkey
1815-10-01,12.111,Turkey
1815-11-01,7.3409999999999975,Turkey
1815-12-01,-0.16300000000000026,Turkey
1816-01-01,1.087,Turkey
1816-02-01,-0.9099999999999996,Turkey
1816-03-01,4.845,Turkey
1816-04-01,8.951,Turkey
1816-05-01,14.665999999999999,Turkey
1816-06-01,18.419,Turkey
1816-07-01,20.323,Turkey
1816-08-01,21.354000000000006,Turkey
1816-09-01,17.39,Turkey
1816-10-01,9.953,Turkey
1816-11-01,7.262,Turkey
1816-12-01,0.2349999999999999,Turkey
1817-01-01,-0.16900000000000004,Turkey
1817-02-01,2.7230000000000003,Turkey
1817-03-01,5.768,Turkey
1817-04-01,8.538,Turkey
1817-05-01,12.873,Turkey
1817-06-01,17.57,Turkey
1817-07-01,21.455,Turkey
1817-08-01,23.438000000000002,Turkey
1817-09-01,15.708999999999998,Turkey
1817-10-01,10.556,Turkey
1817-11-01,6.654999999999999,Turkey
1817-12-01,2.001,Turkey
1818-01-01,-0.8580000000000001,Turkey
1818-02-01,0.6440000000000001,Turkey
1818-03-01,6.836,Turkey
1818-04-01,12.563,Turkey
1818-05-01,15.427,Turkey
1818-06-01,19.408,Turkey
1818-07-01,21.565,Turkey
1818-08-01,22.427000000000003,Turkey
1818-09-01,17.686,Turkey
1818-10-01,11.461,Turkey
1818-11-01,7.186,Turkey
1818-12-01,1.419,Turkey
1819-01-01,-1.2940000000000005,Turkey
1819-02-01,1.857,Turkey
1819-03-01,5.4239999999999995,Turkey
1819-04-01,9.865,Turkey
1819-05-01,13.273,Turkey
1819-06-01,17.109,Turkey
1819-07-01,20.109,Turkey
1819-08-01,20.682,Turkey
1819-09-01,18.116,Turkey
1819-10-01,14.398,Turkey
1819-11-01,8.921999999999997,Turkey
1819-12-01,3.305,Turkey
1820-01-01,-0.4290000000000001,Turkey
1820-02-01,0.5830000000000002,Turkey
1820-03-01,5.353,Turkey
1820-04-01,10.454,Turkey
1820-05-01,15.77,Turkey
1820-06-01,18.902,Turkey
1820-07-01,21.044,Turkey
1820-08-01,21.529000000000003,Turkey
1820-09-01,17.950999999999997,Turkey
1820-10-01,10.504000000000001,Turkey
1820-11-01,7.1770000000000005,Turkey
1820-12-01,2.912,Turkey
1821-01-01,1.858,Turkey
1821-02-01,2.01,Turkey
1821-03-01,6.332999999999998,Turkey
1821-04-01,10.003,Turkey
1821-05-01,15.878,Turkey
1821-06-01,16.829,Turkey
1821-07-01,19.843,Turkey
1821-08-01,20.481,Turkey
